etapa,modelo,umbral,accuracy,precision,recall,f1,f2,roc_auc,tn,fp,fn,tp
Temporal,Regresión Logística,0.6,0.932935172114236,0.6432601880877743,0.9547738693467337,0.7686544800719209,0.8704652662300201,0.9796909500880279,37827,2845,243,5130
Temporal,Random Forest,0.59,0.9196221088066022,0.6904328018223235,0.5641168806997953,0.6209157021407354,0.5855420755737578,0.9489487323920356,39313,1359,2342,3031
Temporal,Gradient Boosting,0.7449999999999999,0.9169725268758823,0.6703296703296703,0.5676530802158943,0.614733447546105,0.5855925044159435,0.9574166541649882,39172,1500,2323,3050
