lago,fecha,acierto negativo,acierto positivo,falso positivo,falso negativo,recall,precision
Amatitlan,2026-06-19,3629,126115,2909,2104,0.983590575499731,0.9774538070436508
Atitlan,2026-02-12,853795,11242,14953,9654,0.5379977029096478,0.4291658713494942
