etapa,modelo,umbral,accuracy,precision,recall,f1,f2,roc_auc,tn,fp,fn,tp
Inicial,Regresión Logística,0.5,0.9543100258971513,0.740990990990991,0.3956704750450992,0.5158761270090161,0.4363395225464191,0.884071250281585,125685,1150,5025,3290
Inicial,Random Forest,0.5,0.9715945246022938,0.8436732186732187,0.6607336139506915,0.7410804613205638,0.690686915417882,0.9792696189273989,125817,1018,2821,5494
Inicial,Gradient Boosting,0.5,0.969685534591195,0.8391765841106466,0.6275405892964522,0.7180898644464323,0.6608744110643903,0.9810361106414243,125835,1000,3097,5218
Ajustado,Regresión Logística,0.6,0.9115279319274879,0.38091812712529427,0.7005411906193626,0.4934976913627314,0.5998723018619212,0.912896087243238,117368,9467,2490,5825
Ajustado,Random Forest,0.59,0.9541768405475398,0.5859387655920946,0.869993986770896,0.7002565219495668,0.7930973994649827,0.9824874752049414,121723,5112,1081,7234
Ajustado,Gradient Boosting,0.7449999999999999,0.9522160562338143,0.5734398481373092,0.8719182200841852,0.6918599102967841,0.7897087336339673,0.9820794242622926,121442,5393,1065,7250
